Here is the message log for ticket: ticket-130
----------

PC Creator 2 | <@!443769343138856961> <@&697728131003580537>
 Yui | I need support
 ¥£$ | ok
 Yui | My program not compiling
 ¥£$ | Hi <@443769343138856961>!
How can I help you today?
 ¥£$ | replit isnt working<:Stonksdown:712232673342390303>
 Yui | 
 Yui | no error
 Yui | just not compiling
 Yui | i need help pls
 ¥£$ | rip
 ¥£$ | not even an error
 Yui | ???
 Yui | stfu dyno
 Yui | `06.04.2022 14:57:27
System.AggregateException: Mindestens ein Fehler ist aufgetreten. ---> Microsoft.WebTools.Shared.Exceptions.WebToolsException: Fehler bei der Veröffentlichung. Die Ursache des Fehlers konnte nicht ermittelt werden. Weitere Informationen finden Sie im Ausgabeprotokoll. 
   --- Ende der internen Ausnahmestapelüberwachung ---
---> (Interne Ausnahme #0) Microsoft.WebTools.Shared.Exceptions.WebToolsException: Fehler bei der Veröffentlichung. Die Ursache des Fehlers konnte nicht ermittelt werden. Weitere Informationen finden Sie im Ausgabeprotokoll. <---

Microsoft.WebTools.Shared.Exceptions.WebToolsException: Fehler bei der Veröffentlichung. Die Ursache des Fehlers konnte nicht ermittelt werden. Weitere Informationen finden Sie im Ausgabeprotokoll. `
 Yui | ***Die Ursache des Fehlers konnte nicht ermittelt werden.***
 Masterwinter | I don't have the coding capacity to know how to fix it
 Yui | fix it anyways
 Yui | I fixed it
 Yui | I referenced an undefined variable
 Yui | Intellisense better than the compiler
 Masterwinter | Than why did you open a ticket for, Don't you have a private chat?
 Yui | No
 Yui | Private chat only 2ppl
 Yui | Ticket more than 2ppl
 Yui | <:BigBrain:860594594634268692>
 Masterwinter | I mean a different server
 Yui | No
 Masterwinter | Well can I close the ticket now?
 Yui | I am bot dev and need help from other bot dev <:BigBrain:860594594634268692>
 Yui | No
 Masterwinter | Fine just remember to close it
 Yui | Why?
 Yui | What is the problem of leaving them open?
 Masterwinter | It leaves random tickets that have no reason to leave them open
 Yui | Btw we have a rule, if you create a ticket and dont respond within 12h (leave it open) then you get a warn
 Yui | No
 Yui | I made the system i know better
 Yui | <:linus:723508250288455690>
 ABHOY {INDIAN} | You don't know
 Yui | <:hahaha6:740166145167982623>
 Yui | I made 100% of the code
 ABHOY {INDIAN} | you just seen that
 Yui | Except the colors cuz <@!695229647021015040> is toxic
 ABHOY {INDIAN} | -99
 ABHOY {INDIAN} | yessss
 ABHOY {INDIAN} | <:hahaha6:740166145167982623>
 ¥£$ | Because the color were ugly
 Yui | No u
 ABHOY {INDIAN} | ohohoohohohoh
 ABHOY {INDIAN} | swag reply
 Yui | Colors were the same color as ur role
 ¥£$ | I know
 ABHOY {INDIAN} | yep
 Yui | Oh no
 Yui | He is typing long
 Yui | Bye
 Yui | We had a great time
 ABHOY {INDIAN} | k
 Yui | I think i should go now
 ABHOY {INDIAN} | no
 PC Creator 2 | <@!443769343138856961> do you really want to leave? Answer with `y/n`
 ABHOY {INDIAN} | y
 Yui | no?
 PC Creator 2 | You have to answer with y/n. Please use /leave again
 ABHOY {INDIAN} | y
 ABHOY {INDIAN} | yes
 ABHOY {INDIAN} | yessss
 ABHOY {INDIAN} | yessssss
 Yui | ,leave
 Yui | Phahaha
 ABHOY {INDIAN} | hahahahaha
 ABHOY {INDIAN} | xaaxaxaxaxxaaxaxxaxaxaxxaxaxaxa
 ¥£$ | ,close
 PC Creator 2 | 
 ¥£$ | Close
 ¥£$ | Close
