Here is the message log for ticket: ticket-71
----------

PC Creator 2 | <@706183071979929610> <@&697728131003580537>
 lolgrapc69 (AmitabhTechz) | what do we do here?
 ABHOY {INDIAN} | Hi
 Yui | What do you need help with?
 lolgrapc69 (AmitabhTechz) | its that like im new to tickets
 Yui | ?
 ABHOY {INDIAN} | <:PlsHelp:720878428105998408>
 Yui | you know that i could give you a warn for doing that?
 ABHOY {INDIAN} | <@706183071979929610> what's your problem
 ABHOY {INDIAN} | Share your problem
 lolgrapc69 (AmitabhTechz) | oh god
 lolgrapc69 (AmitabhTechz) | this
 ABHOY {INDIAN} | If you have problems stay

If you don't have any problem leave
 lolgrapc69 (AmitabhTechz) | oh wait
 lolgrapc69 (AmitabhTechz) | i have a problem
 ABHOY {INDIAN} | Oof
 ABHOY {INDIAN} | Ok tell
 lolgrapc69 (AmitabhTechz) | not really a help but how can we see the latest updates?
 lolgrapc69 (AmitabhTechz) | of the game
 ABHOY {INDIAN} | Play store
 ABHOY {INDIAN} | <:PlsHelp:720878428105998408>
 lolgrapc69 (AmitabhTechz) | this server i meant
 ABHOY {INDIAN} | What
 ABHOY {INDIAN} | Idk wdym
 ABHOY {INDIAN} | Say in your language
 lolgrapc69 (AmitabhTechz) | ¿cómo ver las actualizaciones de pc creator en este servidor? (no playstore)
 ABHOY {INDIAN} | <#572536109754744839>
 lolgrapc69 (AmitabhTechz) | oh thanks
 ABHOY {INDIAN} | Welcome
 ABHOY {INDIAN} | , close
 ABHOY {INDIAN} | ,close
 PC Creator 2 | 
 ABHOY {INDIAN} | Close
